subject.auto(),number.string(),name.auto(),section.string(),crn.string(),slot.string(),days.auto(),starttime.auto(),endtime.auto(),roombuild.auto(),roomnumber.string(),type.auto(),method.auto(),associatedleclab.string(),phon.auto(),waitlist.auto(),precheck.auto(),reservelifted.auto(),attribute.auto(),credhr.string(),billhr.string(),prime_instr.auto(),secnd_instr.auto(),availto.auto(),reservefordegree.auto(),reserveformajor.auto(),reserveforminor.auto(),xlist.auto()
ANTH,1031,"Introduction to Anthropolog",001,81797,14,"M,W",1530,1645,C,3033,LEC,IP,,"Y,Y",Y,N,,,3,3,K Gordon,,,,,,
ANTH,1031,"Introduction to Anthropolog",056,91100,31,"T",1900,2130,A,1046,LEC,IP,,"Y,Y",Y,N,,,3,3,D Kudejira,,,,,,
ANTH,2413,"Culture, Soc & Globalizatio",001,92013,13,"M,W",1400,1515,C,2033,LEC,IP,,"Y,Y",Y,N,,,3,3,K Gordon,,,,,,
ANTH,2415,"Anthropology of Food",056,92015,G25,"M,W",1730,1845,QC,4028,LEC,IP,,"Y,Y",Y,N,,,3,3,S Roseman,,,,,,
ANTH,3061,"Cult & Social Inequality",001,98184,74,"R",1500,1750,QC,4028,LEC,IP,,"Y,Y",N,N,,,3,3,J Clark,,,,,,
ANTH,3404,"Visual Anthropology",002,99167,41,"M",0900,1150,QC,4028,LEC,IP,,"Y,Y",N,N,,,3,3,C Tytelman,,,,,,
ANTH,4071,"Soc&Cult Aspct Hlth&Illn",001,94993,13,"M,W",1400,1515,SN,2105,SEM,IP,,"Y,Y",Y,N,,,3,3,E Tenkorang,,,,,,"SOCI 4071-001"
ANTH,4073,"Studies in Underclass Life",001,98186,53,"W",1200,1450,QC,4001,LEC,IP,,"Y,Y",N,N,,,3,3,J Clark,,,,,,
ANTH,4412,"Contemp Theory in Anthropol",002,98868,,"T",1500,1800,QC,4028,SEM,IP,,"Y,Y",Y,N,,,3,3,S Roseman,,,,,,
ARCH,1005,"CRW Indigenous Studies",001,89260,04,"M,W,F",1100,1150,A,2065,LEC,IP,,"Y,Y",Y,N,,,3,3,J Van Den Sco,,,,,,"HIST 1005-001"
ARCH,2450,"Principles of Archlgcl Scie",001,97584,17,"T,R",0900,1015,QC,2013,LEC,IP,,"Y,Y",Y,N,,,3,3,P Ledger,,,,,,
ARCH,3290,"First Peoples of NL & Lab",001,98672,23,"T,R",1230,1345,A,2065,LEC,IP,,"Y,Y",Y,Y,,,3,3,S Neilsen,,,,,,
ARCH,3525,"Indigenous History from 176",001,92789,13,"M,W",1400,1515,A,1045,LEC,IP,,"Y,Y",Y,Y,,,3,3,J Van Den Sco,,,,,,"HIST 3525-001"
ARCH,3593,"Archaeology of Children",001,97585,19,"T,R",1400,1515,QC,2013,LEC,IP,,"Y,Y",Y,N,,,3,3,P Whitridge,,,,,,
ARCH,3680,"Archaeology of Iceland",001,94038,14,"M,W",1530,1645,QC,2013,LEC,IP,,"Y,Y",Y,Y,,,3,3,V Forbes,,,,,,
ARCH,4160,"Spc Projects in Archaeology",001,98857,41,"M",0900,1150,QC,4028,LEC,IP,,"N,N",N,Y,,,3,3,,,,,,,
ARCH,4172,"Postcolonial Archaeology",001,97587,41,"M",0900,1150,QC,4028,LEC,IP,,"Y,Y",Y,Y,,,3,3,M Blaser,,,,,,
ARCH,4411,"Archaeological Theory",001,70957,18,"T,R",1030,1145,QC,2013,SEM,IP,,"Y,D",Y,Y,Y,,3,3,P Whitridge,,,,"A/P,ARCH","A/P,ARCH",
